ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
2126123,Chokurdakh,70.6333,147.9167,16.55,74,98,4.68,RU,1660028087
2126710,Beringovskiy,63.05,179.3167,8.2,63,0,1.97,RU,1660028088
1071296,Antalaha,-14.9003,50.2788,24.5,62,51,6.01,MG,1660028089
5637146,Anaconda,46.1285,-112.9423,15.44,29,0,2.2,US,1660028091
3421765,Nanortalik,60.1432,-45.2371,5.25,89,100,2.04,GL,1660028092
1634614,Nabire,-3.3667,135.4833,26.2,87,100,0.37,ID,1660028094
3394605,Monte Alegre,-2.0078,-54.0692,23.71,76,100,2.32,BR,1660028095
1640902,Kawalu,-7.3817,108.2082,27.4,68,62,2.93,ID,1660028096
3831208,Qaanaaq,77.484,-69.3632,0.1,61,0,1.75,GL,1660028098
2074865,Carnarvon,-24.8667,113.6333,19.34,50,18,10.53,AU,1660028099
2027316,Ayan,56.45,138.1667,12.62,97,100,7.63,RU,1660028102
4036284,Alofi,-19.0595,-169.9187,22.94,83,10,2.57,NU,1660028103
3581194,San Ignacio,17.1561,-89.0714,24.08,94,0,0.0,BZ,1660028104
3461370,Imbituba,-28.24,-48.6703,16.59,99,100,2.8,BR,1660028106
1015776,Bredasdorp,-34.5322,20.0403,14.15,78,13,1.07,ZA,1660028107
2015306,Tiksi,71.6872,128.8694,14.24,57,80,5.69,RU,1660028109
3933986,Orcopampa,-15.2661,-72.3417,4.33,62,3,0.86,PE,1660028110
4031574,Provideniya,64.3833,-173.3,9.14,68,10,3.0,RU,1660028113
4035715,Avarua,-21.2078,-159.775,23.03,68,40,4.12,CK,1660028114
3883457,Lebu,-37.6167,-73.65,7.13,77,100,3.33,CL,1660028116
2120591,Tilichiki,60.4667,166.1,14.97,85,37,3.56,RU,1660028117
1722803,Buluang,13.3068,123.3425,29.39,71,95,1.96,PH,1660028118
5122534,Jamestown,42.097,-79.2353,23.34,71,100,5.14,US,1660028120
3398480,Gurupá,-1.405,-51.64,22.09,96,31,1.46,BR,1660028121
1714733,Dingle,10.9995,122.6711,28.81,75,77,1.53,PH,1660028122
53372,Oodweyne,9.4092,45.064,24.88,46,100,12.51,SO,1660028124
2110227,Butaritari,3.0707,172.7902,27.93,78,70,7.64,KI,1660028125
934322,Mahébourg,-20.4081,57.7,24.16,69,40,6.17,MU,1660028128
1180729,Dalbandin,28.8947,64.4101,38.58,20,97,4.04,PK,1660028129
1722028,Cabadiangan,9.7531,122.4739,29.03,73,41,3.11,PH,1660028132
110690,Faya,18.3851,42.4509,22.06,49,98,1.58,SA,1660028133
3395458,Maragogi,-9.0122,-35.2225,22.58,78,16,2.91,BR,1660027857
1507390,Dikson,73.5069,80.5464,5.56,96,87,9.6,RU,1660028136
3132644,Varhaug,58.6147,5.6457,15.75,81,99,3.07,NO,1660028137
2128975,Nemuro,43.3236,145.575,20.19,90,100,5.83,JP,1660028139
4726521,San Patricio,28.017,-97.5169,29.38,75,11,3.08,US,1660028140
2121025,Srednekolymsk,67.45,153.6833,28.21,38,100,2.35,RU,1660028141
2208248,Kaitangata,-46.2817,169.8464,3.29,79,6,4.22,NZ,1660028143
2063030,Port Pirie,-33.1833,138.0167,16.41,40,99,1.33,AU,1660028146
3385670,Urucará,-2.5364,-57.76,22.73,86,92,1.2,BR,1660028147
5983720,Iqaluit,63.7506,-68.5145,8.85,76,20,3.6,CA,1660028149
5557293,Sitka,57.0531,-135.33,11.26,92,11,1.32,US,1660028150
6089245,Norman Wells,65.282,-126.8329,17.02,51,75,3.09,CA,1660028152
2191562,Dunedin,-45.8742,170.5036,5.45,65,59,1.79,NZ,1660028091
